strategy,n_trials,n_pass,best_calmar,best_test_return,best_test_trades,elapsed_s
limit_up_chase,200,101,26312.40777003607,0.09168536460521626,3,300.2
post_drop_rebound,200,102,24859.72305152079,0.08764249270801105,2,245.1
macd_cross,200,128,123.36990306806753,0.1698459707318809,45,361.3
close_to_open,200,149,42.5570000299275,0.19224472862396147,143,368.8
breakout_52w,200,194,40.86603963317398,0.13826656032068763,23,372.0
trend_followthrough,200,144,29.14080997901203,0.12714078708205845,44,469.8
gap_up_chase,200,3,9.88794288845653,0.09621807219897027,98,246.9
gap_down_reversal,200,0,2.833075182126689,0.029765676650931105,147,250.1
closing_drift,200,0,2.600778659919223,0.019362561380813936,80,320.9
orb,200,0,2.500666768093716,0.02727322138643018,68,291.8
volume_surge,200,0,0.047537635447569976,0.0011170638843347458,347,384.9
vwap_bounce,200,0,-0.3190030810778665,-0.007012905054116891,259,292.0
bb_lower_bounce,200,0,-1.0715992981370472,-0.9329168958517962,7890,432.0
intraday_pullback,200,0,-1.0903134702775032,-0.9168948625807135,7045,499.2
rsi_oversold,200,0,-1.219724433053104,-0.8198478219653186,2977,488.6
